"id","code","name","municipality_id","department_id","postal_code"
5761,"05761000","SOPETRAN ANTIOQUIA","5761","5","051440"
5789,"05789000","TAMESIS ANTIOQUIA","5789","5","056020"
5790,"05790000","TARAZA ANTIOQUIA","5790","5","052460"
5792,"05792000","TARSO ANTIOQUIA","5792","5","056430"
5809,"05809000","TITIRIBI ANTIOQUIA","5809","5","055850"
5819,"05819000","TOLEDO ANTIOQUIA","5819","5","052050"
5837,"05837000","TURBO ANTIOQUIA","5837","5","057860"
5842,"05842000","URAMITA ANTIOQUIA","5842","5","057440"
5847,"05847000","URRAO ANTIOQUIA","5847","5","056830"
5854,"05854000","VALDIVIA ANTIOQUIA","5854","5","052010"
5856,"05856000","VALPARAISO ANTIOQUIA","5856","5","056030"
5858,"05858000","VEGACHI ANTIOQUIA","5858","5","052830"
5861,"05861000","VENECIA ANTIOQUIA","5861","5","056420"
5873,"05873000","VIGIA DEL FUERTE ANTIOQUIA","5873","5","056820"
5885,"05885000","YALI ANTIOQUIA","5885","5","053010"
5887,"05887000","YARUMAL ANTIOQUIA","5887","5","052030"
5890,"05890000","YOLOMBO ANTIOQUIA","5890","5","053020"
5893,"05893000","YONDO ANTIOQUIA","5893","5","053410"
5895,"05895000","ZARAGOZA ANTIOQUIA","5895","5","052440"
8001,"08001000","BARRANQUILLA ATLANTICO","8001","8","080015"
8078,"08078000","BARANOA ATLANTICO","8078","8","082020"
8137,"08137000","CAMPO DE LA CRUZ ATLANTICO","8137","8","084040"
8141,"08141000","CANDELARIA ATLANTICO","8141","8","084020"
8296,"08296000","GALAPA ATLANTICO","8296","8","082001"
8372,"08372000","JUAN DE ACOSTA ATLANTICO","8372","8","081040"
8421,"08421000","LURUACO ATLANTICO","8421","8","085060"
8433,"08433000","MALAMBO ATLANTICO","8433","8","083021"
8436,"08436000","MANATI ATLANTICO","8436","8","085020"
8520,"08520000","PALMAR DE VARELA ATLANTICO","8520","8","083080"
8549,"08549000","PIOJO ATLANTICO","8549","8","081060"
8558,"08558000","POLONUEVO ATLANTICO","8558","8","082040"
8560,"08560000","PONEDERA ATLANTICO","8560","8","084001"
8573,"08573000","PUERTO COLOMBIA ATLANTICO","8573","8","081001"
8606,"08606000","REPELON ATLANTICO","8606","8","085040"
8634,"08634000","SABANAGRANDE ATLANTICO","8634","8","083040"
8638,"08638000","SABANALARGA ATLANTICO","8638","8","085001"
8675,"08675000","SANTA LUCIA ATLANTICO","8675","8","084080"
8685,"08685000","SANTO TOMAS ATLANTICO","8685","8","083060"
8758,"08758000","SOLEDAD ATLANTICO","8758","8","083005"
8770,"08770000","SUAN ATLANTICO","8770","8","084060"
8832,"08832000","TUBARA ATLANTICO","8832","8","081020"
8849,"08849000","USIACURI ATLANTICO","8849","8","082060"
11001,"11001000","BOGOTA BOGOTA D. C.","11001","11","110311"
13001,"13001000","CARTAGENA BOLIVAR","13001","13","130003"
13006,"13006000","ACHI BOLIVAR","13006","13","134020"
13030,"13030000","ALTOS DEL ROSARIO BOLIVAR","13030","13","133501"
13042,"13042000","ARENAL BOLIVAR","13042","13","134520"
13052,"13052000","ARJONA BOLIVAR","13052","13","131020"
13062,"13062000","ARROYOHONDO BOLIVAR","13062","13","131560"
13074,"13074000","BARRANCO DE LOBA BOLIVAR","13074","13","133510"
13140,"13140000","CALAMAR BOLIVAR","13140","13","131540"
13160,"13160000","CANTAGALLO BOLIVAR","13160","13","135060"
13188,"13188000","CICUCO BOLIVAR","13188","13","132550"
13212,"13212000","CORDOBA BOLIVAR","13212","13","132501"
13222,"13222000","CLEMENCIA BOLIVAR","13222","13","130510"
13244,"13244000","EL CARMEN DE BOLIVAR BOLIVAR","13244","13","132050"
13248,"13248000","EL GUAMO BOLIVAR","13248","13","132001"
13268,"13268000","EL PENON BOLIVAR","13268","13","133550"
13300,"13300000","HATILLO DE LOBA BOLIVAR","13300","13","133047"
13430,"13430000","MAGANGUE BOLIVAR","13430","13","132511"
13433,"13433000","MAHATES BOLIVAR","13433","13","131040"
